Job role,Job type,Job ID,location,City,State,salary,Job description,Requirements
Credit / Collections Officer III,Contract,2089380-WQG,"Los Angeles, CA",Los Angeles,CA,$20 - $20 per Hourly,"Kforce has a client that is seeking a Credit/Collections Officer III in Los Angeles, CA.

Key Tasks:
* Responsible for answering inbound calls and making outbound calls to clients who are past due on their accounts
* Credit/Collections Officer III will identify and communicate with customers with delinquent accounts by mail, phone, etc.
* Work out terms for payment or initiates other actions as necessary
* Ensure collections operations function smoothly and effectively","* Prior collections experience
* Tech savviness to handle software apps
* Good communication skills are essential, as the credit/collections officer will be trying to recover company losses by obtaining payments from delinquent clients
* Good phone manners are required
* Customer Service - ability to deal with customer issues and attitudes
* Must be able to handle basic math to set up payment plans based on budget information provided by clients and must be able to calculate the amount a client can afford to pay each month based on that budget
* Must be able to look over an account history and identify any past problems or potential future problems when setting up payments or discussing a settlement
* Should be able to respond to caller concerns and difficulties with a sense of empathy and understanding, but should be able to firmly request that each client make their due payment or make some arrangements to begin paying off the delinquent account

"
Customer Representative Specialist,Contract,2088487-EQG,"Miramar, FL",Miramar,FL,$24 - $26 per Hourly,"Kforce's client is looking for 3 Customer Representative Specialists to work within the HR team in Miramar, FL.

Duties Include:
* Working with the HR team
* Candidates will have training
* They will use a program called 'Talk Desk'
* They will be calling +1600 employees","* High School diploma/GED
* Call center experience
* Proven customer support experience or experience as a client service representative
* Strong phone contact handling skills and active listening
* Familiarity with CRM systems and practices
* Customer orientation and ability to adapt/respond to different types of characters
* HR experience is a plus but not required
* Excellent communication and presentation skills
* Ability to multi-task, prioritize, and manage time effectively
* HR experience is a plus but not required

"
Senior SQL Data Analyst,Contract,2089388-TVT,"Greenwood Village, CO",Greenwood Village,CO,$50 - $65 per Hourly,"Kforce is immediately seeking an experienced Senior SQL Data Analyst in support of our enterprise telecommunications and mass media client based in Greenwood Village, CO.

Responsibilities:
* Senior SQL Data Analyst translates user requirements into design for new software or extensive software revisions in a very large data environment
* Creates high-level architectural specifications, while ensuring feasibility, functionality, and integration with existing systems and platforms
* Provides expertise on cross-application implications
* Approves business requirements, estimation, functional specifications, testing strategy and other activities to ensure architectural alignment
* As a Senior SQL Data Analyst, you will work closely with stakeholders to identify and negotiate opportunities to apply architecture standards and guidelines","* 5+ years of experience designing or configuring software applications in a big data Hadoop environment using SQL ETL, Tableau, PySpark, AWS
* Candidates qualifying for this position will have similar experience along with the skills and abilities to perform the duties mentioned
* Any relevant education and/or training will be considered a plus
* Nice to have skills include Athena, Open Search, Spark

"
Advanced Solutions Architect,Contract,2089375-EQG,"Cincinnati, OH",Cincinnati,OH,$62 - $83 per Hourly,"Kforce has a client in Cincinnati, OH that is seeking an Advanced Solution Architect to join their team on a 12-month contract basis. This contract has possibility to extend. It could eventually convert to a full-time employee, but that is not guaranteed. This role can be remote, and the person is not required to be in Cincinnati, though they do need to work EST or CST hours. There will occasionally be the need to come on-site, as much as once a quarter.

Summary:
The current team is made up of Solution Architects from various backgrounds. They meet every Monday afternoon as a team, and various other collaborations throughout the week. The team is made up of contractors and FTEs with a variety of experience. This person will not be deep into software or enterprise governance. They will facilitate getting work done with partners/engineers across the board as a system solution.

Duties Include:
* Partner with development, product management, architecture, information security and infrastructure teams to deliver software and technology products that meet requirements and produce desired business outcomes
* Advanced Solution Architect will adhere to established architectural principles and associated processes for adopting new technology or integrating with a new third-party solution
* Advise product management on technology specific aspects of product roadmap development and recommend adoption of emerging technology appropriate to stated goals","* 3+ years of experience working on high volume, internet scale solutions
* Any experience developing and/or architecting public cloud-hosted backend services
* Experience developing a scalable microservices architecture
* Proven knowledge of technology to support omnichannel experiences
* Demonstrated written, oral and presentation/public speaking communication skills; Demonstrated interpersonal skills with an ability to communicate/work effectively with diverse groups of people
* Proven delivery of innovative results in previous roles and strong knowledge of industry trends and industry competition
* Demonstrated capability to build, mentor and maintain an inclusive team-based environment
* Proven knowledge of service-oriented architecture/Cloud

"
Controller - Tech Sector,Permanent,2089379-AQG,"Totowa, NJ",Totowa,NJ,$145000 - $210000 per Annually,"Kforce's client, a technology company whose headquarters is in Totowa, NJ, is seeking a Controller.

Summary:
This is a growth opportunity in the technology sector. This $200 mm revenue business is a hypergrowth company that will benefit from organic growth driven by a major tech cycle, but there is also a massive opportunity for the company to grow through acquisition. This is a very well-funded company with a good balance sheet.

Duties will include:
* Manage a 10-person team
* Month-end close
* Prepare financial statements
* Other reporting
* FP&A
* Acquisitions
* Audit prep and engagement
* Treasury management
* Internal controls","* Bachelor's degree in Accounting; Advanced degree a plus
* CPA a plus
* Over 7 years of experience
* Experience as a Controller, Assistant Controller, Accounting Director, or Accounting Senior Manager
* Tech, telecom, or project-based industry experience a plus
* Public accounting experience, like Big 4 experience, a plus

"
Senior Staff Accountant,Permanent,2089374-NRC,"Tampa, FL",Tampa,FL,$70000 - $85000 per Annually,"Kforce has a client that is seeking a Senior Staff Accountant in Tampa, FL.

Responsibilities:
* Cross functionally trains to assist the AP/Treasury Analyst with posting cash activity weekly if needed - working with Group Accounting Manager as needed to ensure transactions are coded correctly
* Senior Staff Accountant will prepare and post monthly centralized entries relating to the 8 platforms as part of month end close
* Master the use of FloQast - ensure an accurate and timely month-end and year-end close process, prepare balance sheet reconciliations and account analysis for APS
* As a Senior Staff Accountant, you will assist with providing external auditors all requested materials, in conjunction with Group Accounting Manager
* Prepare ASC 805 - Business Combinations accounting entries for new acquisitions
* Identify opportunities for efficiencies and implement streamlined procedures where possible
* Execute the individual and team goals that support strategic and operational initiatives
* Contribute to team culture","* Bachelor's degree in Accounting, Finance, or a related field; CPA license a plus
* 1-3 years of prior accounting experience (public accounting preferred)
* Extreme formatting, organization and priority setting skills
* Excellent interpersonal skills, attention to detail and teamwork
* Ability to communicate accounting and financial information into common language
* Experience with Sage Intacct and accounting ERP implementations a plus

"
Data Engineer Level 3,Contract,2089372-EQG,"Cincinnati, OH",Cincinnati,OH,$62 - $83 per Hourly,"Kforce has a client in Cincinnati, OH that is seeking a Level 3 Data Engineer to join their team on a 6-month contract to hire basis. Candidates can work remotely. The hiring manager will review candidates and interview quickly!

Duties Include:
* Data Engineer will drive digital innovation by leveraging innovative new technologies and approaches to renovate, extend, and transform the existing core data assets, including SQL-based, NoSQL-based, and Cloud-based data platforms
* Define high-level migration plans to address the gaps between the current and future state
* Present opportunities with cost/benefit analysis to leadership to shape sound architectural decisions
* Lead the analysis of the technology environment to detect critical deficiencies and recommend solutions for improvement
* Interpreting data, analyzing results using statistical techniques
* As a Data Engineer, you will be developing and implementing data analyses, data collection systems and other strategies that optimize statistical efficiency and quality
* Acquiring data from primary or secondary data sources and maintaining databases
* Promote the reuse of data assets, including the management of the data catalog for reference","* Extensive knowledge of data principles, patterns, processes, and practices
* Any experience defining evolutionary data solutions and underlying technologies
* Strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy
* Experience with SQL database design, data modeling
* Demonstrated written and oral communication skills
* Basic understanding of network and data security architecture
* Strong knowledge of industry trends
* Knowledge in a minimum of two of the following technical disciplines: data warehousing, data management, analytics development, data science, application programming interfaces (APIs), data integration, cloud, servers and storage, and database management
* Experience building cost effective and performance driven solutions using elastic architectures in Microsoft Azure leveraging Cosmos, Azure Data Factory, Azure Synapse and Databricks Platforms
* Experience with SQL and NoSQL applications on Big Data Platforms
* Experience with SSAS Tabular models, Power BI, Dataflows and DAX
* Experience with Azure Data Platform stack: Azure Data Lake, Azure Synapse, Data Factory and Databricks
* Experience with Python, Spark, and SQL
* Any experience with streaming technologies like Kafka, IBM MQ and EventHub
* Ability to analyze and organize raw data
* Ability to build data systems and pipelines
* Ability to evaluate business needs and objectives
* Ability to interpret trends and patterns
* Ability to conduct complex data analysis and report on results
* Experience with Google cloud Platform is a plus

"
Content Writer,Contract,2089368-TVT,"Allen, TX",Allen,TX,$21 - $28 per Hourly,"Kforce is immediately seeking an experienced Content Writer to remotely support our enterprise networking and cloud solutions client based in Allen, Texas.

Summary:
We are looking for a writer who is passionate about both tech and content creation. Our ideal candidate has extensive experience creating tech-focused content, working with subject matter experts (SMEs) to deliver crisp, engaging content for the right audience, at the right time. They are flexible, resourceful, and inquisitive, thriving on creating content that addresses the needs of existing and potential customers, while shining a light on the solutions Company provides. We are looking for not only a master of the written word, who will be an in-house expert on writing, but also a passionate advocate for the customer.

Responsibilities:
* Create content focused on the awareness and consideration phases of the buying cycle, including but not limited to e-books, whitepapers, blogs, web pages, and case studies
* Content Writer will manage the editing process with internal stakeholders
* Be a go-to writing resource in the marketing organization, writing, or reviewing copy as needed
* Work closely with colleagues on the marketing team to understand content objectives and participate in content-specific brainstorming sessions for campaigns
* As a Content Writer, you will collaborate with designers to fine-tune content throughout the content creation phase
* Actively cultivate an always-learning mindset, with a curiosity and eagerness to learn about our technology and its benefits
* Use project management software as part of the content creation, editing, and delivery process","* Several years of experience writing for technology decision makers
* An excellent writer, with a passion for creating copy that engages, educates, and inspires to action
* Excellent interpersonal skills, ensuring they prove a valuable partner as they work with other content creators, integrated marketers, and audience and product experts
* Strong communication skills, and the ability to work well both independently and in a cross-functional fast-paced team environment
* Ability to take input from multiple stakeholders to formulate a cohesive direction for any given piece of content
* Ability to balance and prioritize multiple projects and to adjust to shifts in timelines, deadlines, budgets, and project goals
* Portfolio that showcases excellence in writing, featuring an easy-to-understand, engaging, and polished style
* Experience not only executing on content pieces but in advising on content strategy is a plus

"
Business Intelligence Analyst,Contract,2089370-TVT,"Redmond, WA",Redmond,WA,$50 - $60 per Hourly,"Kforce's client in Redmond, WA is seeking a Business Intelligence Analyst to drive business execution and channel transformation projects. You will focus on measuring short term Retail impact and project managing long term project transformation by engaging with Engineering, Research, Business Planning and Sales teams in the organization.

Key projects and responsibilities will be:
* Business Intelligence Analyst will develop a comprehensive performance management plan for the Go-To-Market organization in partnership with Finance, Data Science and Sales teams
* Gather requirements from business units and translate those to programmers and developers
* Execute performance management platform and publish periodical performance reports for stakeholder awareness in partnership with sales teams
* As a Business Intelligence Analyst, you will demonstrate an informed knowledge of business functions to resolve problems and capitalize on improvement opportunities
* Project Manage Retail transformation plan with partner onboarding plan and SKU requirements in partnership with sales teams
* Project Manage technical capability launches in partnership with GTM and Engineering teams","* Bachelor's degree in technical field such as Computer Science, Computer Engineering or related field required; MBA or other related advanced degree preferred
* 5-7 years of experience is preferred
* Basic knowledge of programming languages in order to comprehend reading code and basic functions
* Ability to create business solutions that increase competitive advantage
* Ability to exercise good judgment in selecting methods and techniques for obtaining solutions
* Project management skills in order to handle diverse projects, often times simultaneously, and meet aggressive deadlines
* Ability to solve technical problems/processes and understand complex details
* Ability to increase operating efficiency by producing high quality technical solutions
* A high level of interpersonal and verbal communication skills necessary to relate to other people at their systems knowledge level

"
SSIS Developer,Contract,2089268-WQG,"Fairfield, CA",Fairfield,CA,$65 - $75 per Hourly,"Kforce has a Healthcare client in Fairfield, CA that is looking for a SSIS Developer to assist on the creation of an Automated Reporting Portal. Currently, the reports are run manually which is not sustainable, they need to build/modify their e-portal system for automated reporting (e-portal is the system the client has built for providers to upload data used for reporting). Please note, this role is onsite 3 days a week in Fairfield, CA.","* 10+ years with SQL Server Programming
* 10+ years with SSIS
* 3-4+ years with Azure data pipeline
* Experience with SSRS
* TDD - Test Driven Development
* Experience working on a SCRUM/Agile team
* Experience with Database SQL Server Oracle
* Understand .NET so they can quickly understand it and take it from there without
* Excellent interpersonal, oral, and written communication skills for effective communication
* Knowledge of healthcare is a plus but not required

"
Risk Adjustment Analyst,Permanent,2079614-PND,"Seattle, WA",Seattle,WA,$80000 - $88000 per Annually,"Kforce's Seattle-based healthcare client is adding a 100% remote Risk Adjustment Data Analyst (I or II) to the Risk Adjustment team. This role will be supporting production analytics and reporting for our risk adjustment program. The Risk Adjustment Analyst will be supporting production analytics and reporting for our risk adjustment program. Candidates must live in one of the following states: Arizona, Colorado, Florida, Idaho, Illinois, Indiana, Iowa, Kansas, Louisiana, Maryland, Montana, Nebraska, Nevada, New York, North Carolina, Ohio, Oregon, Pennsylvania, Tennessee, Texas, Virginia, Washington, Wyoming.

Summary:
The Risk Adjustment Analyst is responsible for reports that support monthly financial accruals, KPI for our external clients KPIs for our internal leadership and performance teams and supporting our vendors (data submissions, coding and retrieval). 60 to 75% of the time, the Risk Adjustment Analyst will be working on regular routine reports, updating data tables, regular process work. 25 to 40% of time, they will be working on ad hoc analysis, exploration development, answering a question once or building a new report that can be put in production.","* Bachelor's degree in a quantitative discipline such as Mathematics, Statistics, Actuarial Science or Economics or equivalent combination of education and highly relevant experience
* 2-3 years of experience in healthcare analytics/data for either level
* 2+ years of experience analyzing healthcare claims/encounter data required  
* Extensive experience with advanced analytic features of SQL, Access and Excel
* Analytical and quantitative skills, including experience with managing and modeling of large data sets
* Experience with Commercial, Medicare and/or Medicaid Risk Adjustment models preferred
* Ability to interpret healthcare data and effectively present sophisticated analyses and findings to both subject matter experts and lay audiences
* Adept at queries, report writing, and presenting findings
* Knowledge of risk adjustment payment methodologies
* Thorough knowledge of healthcare coding conventions such as ICD-10, CPT & HCPCS
* Experience with Medicare Advantage, Medicaid and/or Commercial reporting
* Project management skills
* Able to collaborate on overall plan but mostly an independent worker, self- motivated
* Ability to take full ownership of projects, meeting scheduled deadlines with minimal supervision
* Excellent oral and written communication skills
* Excellent customer service skills
* SQL experience
* SAS experience is nice to have; We use that some, but mostly it's just raw SQL
* This client requires a COVID-19 vaccination; Kforce grants reasonable accommodations to persons with disabilities and/or for sincerely held religious beliefs, and in accordance with applicable law

"
Python Developer (Ansible),Contract,2083357-EQG,"Orlando, FL",Orlando,FL,$50 - $60 per Hourly,"Kforce has a client in Orlando, FL that is seeking a Python Developer (Ansible).

Summary:
We are looking for a talented, hardworking, innovative software developer to join our team that designs, develops various process automations and to support network automation as a service strategy.

Responsibilities:
* Python Developer (Ansible) will support Automation as Service strategy and increase efficiencies across the board as identified by the business
* Participate and be responsible for planning, design, develop, implement and integration of programmable network solutions, automations, workflows across a complex environment
* As a Python Developer (Ansible), you will drive, design & develop & support various projects as the principal point-of-contact and support solution delivery, testing, UAT and production deployments
* Learn to innovative through research, process/technical analysis and collaborate with various teams to build and support various automations/workflows","* 6+ years of experience as a software developer
* 3+ years of Expert Level experience with Python, Ansible, Jinga2, API Development, Airflow, Bash, PowerShell
* Expert level experience with MongoDB, MS SQL Server, Rabbit MQ, or any NoSQL Databases
* Professional level experience with at least one or more open-source UI Frameworks- React JS (preferable) or Angular, Bootstrap, Node
* Experience/exposure with MS development stack desirable (ASP.NET, C#, MVC, SQL Server)
* Hands on experience with integration technologies (APIs) such as REST API, RESTCONF, Netconf, gRPC, SOAP, etc.
* Solid understanding of modeling languages such as JSON, YANG, YAML, and XML
* Solid understanding of SaaS, IaaS, and API first principles
* Must be familiar with SDN architecture and technology, prefer deep understanding of SDN, orchestration, scheduling, and cloud platforms
* Must have strong verbal and written communications skills with focus on systems analysis, value positioning, business justification and excellent presentation skills
* Good organizational, time management skills and be able contribute to multiple projects

Preferred skills/experience:
* Experience with ServiceNow is preferred
* Experience in large Enterprise infrastructure and networks is preferred
* Knowledge on OAuth, SAML concepts are preferred
* Working knowledge of Itential is highly desirable/preferred
* Public cloud platforms
* SD-WAN technologies
* Data center technologies
* Network applications and appliances
* Automation and DevOps tools (Ansible, Terraform, GIT, etc.)
* Container technology (Docker, Kubernetes, ECS, EKS, etc.)

"
